Number,Source_node,Unique,Status,Count,bridgingcommunities,avgmedia,sdmedia,dem_minus_rep,Avgmedia_centered,sq_dem_minus_rep,
391,ywcacincinnati,,Nonbridging,787,,1.833333,0.2357023,1,-0.670648,1,
394,albertolivas,,Nonbridging,116,,2.666667,1.527525,0,0.162686,0,
395,alliesincaring,,Nonbridging,309,,2.666667,0.8498366,0,0.162686,0,
397,americanproj,,Nonbridging,70,,2,,0,-0.503981,0,
398,annercarroll,,Nonbridging,63,,3,,0,0.496019,0,
399,apluscolorado,,Nonbridging,"1,610",,2,1,0,-0.503981,0,
402,arthurmpena,,Nonbridging,26,,,,0,,0,
403,beandlive,,Nonbridging,333,,,,0,,0,
405,buddhistpeace,,Nonbridging,107,,,,0,,0,
406,carlowu,,Nonbridging,435,,2.8,0.869227,0,0.296019,0,
408,carole_macneil,,Nonbridging,23,,,,0,,0,
410,civilitycenter,,Nonbridging,194,,,,0,,0,
411,cl_stl,,Nonbridging,357,,2.333333,0.5773503,0,-0.170648,0,
412,clintonschool,,Nonbridging,396,,2.277778,0.7428673,0,-0.226203,0,
413,conflictandkids,,Nonbridging,63,,3.5,0.7071068,0,0.996019,0,
415,cscdenver,,Nonbridging,123,,,,0,,0,
416,cspaterson,,Nonbridging,215,,,,0,,0,
417,cwfellowship,,Nonbridging,60,,,,0,,0,
419,dignityinst,,Nonbridging,19,,3,,0,0.496019,0,
420,echolistening,,Nonbridging,259,,2.814815,0.3767961,0,0.310834,0,
421,eel89,,Nonbridging,107,,,,0,,0,
422,ellenknutson,,Nonbridging,231,,,,0,,0,
425,ff_intl,,Nonbridging,267,,1,,0,-1.503981,0,
426,futuresearchnet,,Nonbridging,854,,2.361111,0.8343428,0,-0.14287,0,
427,gennation,,Nonbridging,"1,704",,2.984127,1.046031,0,0.480146,0,
428,globalpeace,,Nonbridging,"1,458",,4,,0,1.496019,0,
430,gogci,,Nonbridging,199,,2.444444,0.5091751,0,-0.059537,0,
432,hearme_app,,Nonbridging,320,,,,0,,0,
433,hello_bench,,Nonbridging,158,,3,,0,0.496019,0,
434,hnmcp,,Nonbridging,128,,,,0,,0,
437,ijpccincinnati,,Nonbridging,509,,1.975309,1.029172,0,-0.528672,0,
438,infofear,,Nonbridging,23,,,,0,,0,
440,intlistening,,Nonbridging,324,,3,0,0,0.496019,0,
441,ionsonline,,Nonbridging,"1,418",,2.208333,0.8836272,0,-0.295648,0,
442,jeffweissglass,,Nonbridging,324,,1.666667,0.745356,0,-0.837314,0,
443,jhf_center,,Nonbridging,"2,272",,2.62963,1.171946,0,0.125649,0,
445,kathleenkanet,,Nonbridging,83,,,,0,,0,
447,leadershipnc,,Nonbridging,711,,3,,0,0.496019,0,
448,leadforamerica_,,Nonbridging,677,,2.555556,0.7698004,0,0.051575,0,
449,lisabeutler,,Nonbridging,197,,,,0,,0,
450,listenthemovie,,Nonbridging,"5,143",,3,2.828427,0,0.496019,0,
452,marnitastable,,Nonbridging,101,,,,0,,0,
453,marriageresctr,,Nonbridging,355,,,,0,,0,
454,maryboone,,Nonbridging,689,,2.666667,1.527525,0,0.162686,0,
455,marylouaddor,,Nonbridging,104,,4,,0,1.496019,0,
456,mayapare,,Nonbridging,891,,2.666667,1.247219,0,0.162686,0,
457,mopcmunicipal,,Nonbridging,30,,2.111111,1.01835,0,-0.39287,0,
458,nabatchi,,Nonbridging,149,,2,,0,-0.503981,0,
459,nau,,Nonbridging,723,,2.407408,0.846197,0,-0.096573,0,
460,nedrachandler3,,Nonbridging,86,,2.333333,,0,-0.170648,0,
461,neighbassoc,,Nonbridging,260,,2.333333,1.154701,0,-0.170648,0,
462,network_win,,Nonbridging,207,,2.583333,0.5,0,0.079352,0,
463,nmpeacechoir,,Nonbridging,54,,,,0,,0,
464,nobiasnyc,,Nonbridging,"1,753",,2.835125,1.299966,0,0.331144,0,
465,nyupeace,,Nonbridging,520,,2.428571,0.7867958,0,-0.07541,0,
466,ombudsatbrown,,Nonbridging,91,,,,0,,0,
467,omnicenter,,Nonbridging,74,,2.619048,1.253566,0,0.115067,0,
468,onecommonunity,,Nonbridging,421,,1,,0,-1.503981,0,
469,onetableshabbat,,Nonbridging,338,,2.333333,0.942809,0,-0.170648,0,
470,opaatm,,Nonbridging,4,,3,,0,0.496019,0,
471,opengovmetrics,,Nonbridging,328,,3.5,0.7071068,0,0.996019,0,
472,outreachexprts,,Nonbridging,112,,3,,0,0.496019,0,
474,peaceactusa,,Nonbridging,5,,,,0,,0,
475,peaceedprogram,,Nonbridging,448,,2,0.8164966,0,-0.503981,0,
476,proof_media,,Nonbridging,273,,2.240741,0.7029867,0,-0.26324,0,
477,qideas,,Nonbridging,384,,3.583333,1.067187,0,1.079352,0,
478,recitynetwork,,Nonbridging,"1,730",,2.5,0.7071068,0,-0.003981,0,
479,rehumanizeintl,,Nonbridging,7,,,,0,,0,
482,rotary5450,,Nonbridging,122,,,,0,,0,
483,seekpeaceintl,,Nonbridging,23,,3,,0,0.496019,0,
485,teentalkhotline,,Nonbridging,"2,867",,3,0,0,0.496019,0,
486,theciviccircle,,Nonbridging,101,,3,0,0,0.496019,0,
487,thelisteninginc,,Nonbridging,228,,3,,0,0.496019,0,
488,thisiscivity,,Nonbridging,180,,3.142857,0.3779645,0,0.638876,0,
489,tri_ash,,Nonbridging,64,,2.388889,1.020167,0,-0.115092,0,
492,wellbeingtrust,,Nonbridging,"1,027",,2.333333,0.6666667,0,-0.170648,0,
494,wonderingroup,,Nonbridging,84,,2.911111,1.365485,0,0.40713,0,
495,worldpeacemovie,,Nonbridging,490,,1,0,0,-1.503981,0,
496,columbusrotary,,Nonbridging,"1,350",,2,,-1,-0.503981,-1,1
498,experiencecamps,,Nonbridging,207,,2.592592,0.8624542,-1,0.088611,-1,1
499,johngodec,,Nonbridging,319,,2.564103,0.9563106,-1,0.060122,-1,1
500,knowtheflipside,,Nonbridging,399,,3.227139,1.266373,-1,0.723158,-1,1
501,oasisnashville,,Nonbridging,"2,038",,2.755556,0.9467292,-1,0.251575,-1,1
502,peaceiowa,,Nonbridging,272,,1.666667,0.942809,-1,-0.837314,-1,1
503,synaccord,,Nonbridging,"3,054",,1.904762,1.603567,-1,-0.599219,-1,1
504,theklc,,Nonbridging,"3,243",,3.060606,0.6466698,-1,0.556625,-1,1
506,civic_spirit,,Nonbridging,729,,2.25,1.892969,-2,-0.253981,-4,4
507,lucascioffi,,Nonbridging,"1,700",,1.844444,0.9160532,-2,-0.659537,-4,4
508,peace_up_,,Nonbridging,"2,708",,2.030303,1.167748,-2,-0.473678,-4,4
509,quorumanalytics,,Nonbridging,"1,343",,2.977778,0.840131,-2,0.473797,-4,4
510,respect_ability,,Nonbridging,"2,607",,2.787879,1.247407,-2,0.283898,-4,4
511,theraycenter,,Nonbridging,"1,512",,2.575758,0.8040302,-2,0.071777,-4,4
512,tlesteves,,Nonbridging,769,,1.5,0.7071068,-2,-1.003981,-4,4
513,sanitypod,,Nonbridging,102,,3.5,1.167748,-3,0.996019,-9,9
514,amsolidarity,,Nonbridging,"2,681",,2.883721,1.227961,-4,0.37974,-16,16
515,fdp_tweets,,Nonbridging,"2,105",,3.477124,1.282801,-5,0.973143,-25,25
516,kidsforpeace,,Nonbridging,"4,411",,2.705882,1.317494,-10,0.201901,-100,100
517,familiesfreedom,,Nonbridging,750,,3.767442,1.146734,-16,1.263461,-256,256
518,steamboat_inst,,Nonbridging,"4,184",,4.176309,0.9870217,-35,1.672328,-1225,1225
